Date,Open,High,Low,Close
14-01-2015,12.388667,13.013333,12.333333,12.846
15-01-2015,12.966,13.05,12.666667,12.791333
16-01-2015,12.713333,12.966,12.643333,12.871333
20-01-2015,12.924667,12.941333,12.469333,12.795333
21-01-2015,12.636667,13.245333,12.634,13.104667
22-01-2015,13.133333,13.549333,13.013333,13.441333
23-01-2015,13.352667,13.566667,13.222,13.419333
26-01-2015,13.455333,13.908,13.403333,13.77
27-01-2015,13.628,13.868667,13.553333,13.732
28-01-2015,13.740667,13.758,13.228,13.291333
29-01-2015,13.404667,13.732,13.1,13.68
30-01-2015,13.597333,13.831333,13.533333,13.573333
02-02-2015,13.598,14.13,13.553333,14.062667
03-02-2015,14.214667,14.691333,14.084667,14.557333
04-02-2015,14.552667,14.765333,14.453333,14.57
05-02-2015,14.658667,15.032,14.642667,14.732667
06-02-2015,14.8,14.893333,14.433333,14.490667
09-02-2015,14.358667,14.528667,14.132667,14.498667
10-02-2015,14.503333,14.7,14.333333,14.419333
11-02-2015,14.147333,14.316,13.818667,14.186667
12-02-2015,12.904667,13.539333,12.885333,13.525333
13-02-2015,13.526667,13.732667,13.394,13.584667
17-02-2015,13.713333,13.713333,13.433333,13.623333
18-02-2015,13.611333,13.744667,13.506667,13.630667
19-02-2015,13.666667,14.162667,13.583333,14.114
20-02-2015,14.052,14.506667,13.987333,14.474
23-02-2015,14.377333,14.546667,13.755333,13.822667
24-02-2015,13.819333,13.819333,13.446667,13.607333
25-02-2015,13.662667,13.809333,13.505333,13.584
26-02-2015,13.6,14.072667,13.481333,13.812667
27-02-2015,13.793333,13.903333,13.52,13.556
02-03-2015,13.513333,13.556,13.055333,13.155333
03-03-2015,13.120667,13.349333,13.021333,13.304
04-03-2015,13.283333,13.501333,13.147333,13.496
05-03-2015,13.523333,13.746,13.343333,13.375333
06-03-2015,13.280667,13.383333,12.81,12.925333
09-03-2015,12.959333,12.966,12.55,12.725333
10-03-2015,12.564,12.9,12.506667,12.688
11-03-2015,12.743333,13.078667,12.734,12.916
12-03-2015,12.916667,12.963333,12.65,12.738
13-03-2015,12.596667,12.783333,12.488,12.578667
16-03-2015,12.8,13.060667,12.653333,13.046667
17-03-2015,13.028667,13.247333,12.929333,12.982
18-03-2015,12.997333,13.392,12.874,13.380667
19-03-2015,13.466667,13.639333,12.968667,13.043333
20-03-2015,13.163333,13.266,13.041333,13.205333
23-03-2015,13.233333,13.366667,13.164667,13.308667
24-03-2015,13.438667,13.586,13.316667,13.448
25-03-2015,13.218,13.239333,12.846667,12.953333
26-03-2015,12.928,12.986,12.646667,12.694
27-03-2015,12.604667,12.619333,12.093333,12.333333
30-03-2015,12.39,12.816667,12.12,12.704667
31-03-2015,12.902,12.917333,12.560667,12.584667
01-04-2015,12.58,12.82,12.403333,12.506
02-04-2015,12.682,12.882,12.666667,12.733333
06-04-2015,13.2,13.85,13.166667,13.54
07-04-2015,13.500667,13.670667,13.409333,13.55
08-04-2015,13.88,14.06,13.724667,13.844667
09-04-2015,13.895333,14.024667,13.741333,14.006
10-04-2015,13.99,14.11,13.933333,14.06
13-04-2015,14.029333,14.2,13.936667,13.985333
14-04-2015,13.904667,13.966,13.7,13.830667
15-04-2015,13.830667,13.972667,13.773333,13.855333
16-04-2015,13.846667,13.944667,13.752667,13.78
17-04-2015,13.666,13.792,13.566667,13.786
20-04-2015,13.785333,13.856667,13.59,13.684667
21-04-2015,13.72,14.05,13.620667,13.960667
22-04-2015,14.166667,14.792,14.112667,14.629333
23-04-2015,14.551333,14.765333,14.476667,14.573333
24-04-2015,14.7,14.72,14.534,14.562
27-04-2015,14.837333,15.916667,14.8,15.436667
28-04-2015,15.65,15.7,15.202,15.365333
29-04-2015,15.336667,15.664667,15.175333,15.496667
30-04-2015,15.359333,15.526,15.011333,15.07
01-05-2015,15.329333,15.451333,14.694,15.068667
04-05-2015,15.212,15.648667,15.140667,15.367333
05-05-2015,15.850667,15.966667,15.275333,15.53
06-05-2015,15.606667,15.631333,15.213333,15.362
07-05-2015,14.733333,15.832,14.683333,15.786667
08-05-2015,15.732667,15.894,15.58,15.774
11-05-2015,15.752667,16.191999,15.687333,15.966
12-05-2015,16.007334,16.423332,15.879333,16.316
13-05-2015,16.507334,16.553333,16.15,16.212
14-05-2015,16.321333,16.326,16.083332,16.273333
15-05-2015,16.261999,16.626667,16.166668,16.589333
18-05-2015,16.466667,16.66,16.4,16.583332
19-05-2015,16.562,16.733334,16.41,16.476
20-05-2015,16.475332,16.516001,16.091333,16.290001
21-05-2015,16.202,16.441334,16.157333,16.374666
22-05-2015,16.358667,16.573334,16.334,16.515333
26-05-2015,16.511999,16.799999,16.433332,16.497334
27-05-2015,16.567333,16.633333,16.370001,16.495333
28-05-2015,16.468666,16.786667,16.336666,16.763332
29-05-2015,16.733334,16.858,16.628668,16.719999
01-06-2015,16.760668,16.773333,16.497999,16.629999
02-06-2015,16.594667,16.626667,16.42,16.556667
03-06-2015,16.546667,16.714666,16.467333,16.599333
04-06-2015,16.5,16.620001,16.380667,16.394667
05-06-2015,16.4,16.646667,16.378668,16.609333
08-06-2015,16.723333,17.25,16.687332,17.086
09-06-2015,17.026667,17.182667,16.942667,17.066668
10-06-2015,16.793333,16.933332,16.566668,16.713333
11-06-2015,16.884001,16.958,16.695333,16.760668
12-06-2015,16.680668,16.897333,16.680668,16.712667
15-06-2015,16.646667,16.752001,16.400667,16.691999
16-06-2015,16.675333,16.896,16.606667,16.874666
17-06-2015,16.811333,17.624001,16.801332,17.360666
18-06-2015,17.466667,17.563999,17.334667,17.459333
19-06-2015,17.493334,17.586666,17.34,17.500668
22-06-2015,17.476667,17.626667,17.046,17.319332
23-06-2015,17.354668,17.866667,17.238001,17.844667
24-06-2015,17.798668,17.823334,17.581333,17.677999
25-06-2015,17.763332,18.094,17.683332,17.919333
26-06-2015,17.926001,17.940666,17.733334,17.806
29-06-2015,17.463333,17.73,17.379999,17.468
30-06-2015,17.653334,18.061333,17.6,17.884001
01-07-2015,18.073999,18.174667,17.856667,17.943333
02-07-2015,18.68,18.83,18.220667,18.667999
06-07-2015,18.591999,18.779333,18.42,18.648001
07-07-2015,18.333332,18.346666,17.384666,17.858667
08-07-2015,17.288,17.386667,16.954,16.997334
09-07-2015,17.271999,17.530001,17.119333,17.194668
10-07-2015,17.481333,17.533333,17.188,17.276667
13-07-2015,17.483334,17.503332,17.07,17.477333
14-07-2015,17.473333,17.732668,17.367332,17.709999
15-07-2015,17.782667,17.832666,17.472,17.542667
16-07-2015,17.614668,17.813334,17.544001,17.778667
17-07-2015,18.166668,18.369333,17.883333,18.310667
20-07-2015,18.333332,19.110001,18.169333,18.817333
21-07-2015,18.003332,18.233334,17.77,17.784666
22-07-2015,17.417999,17.962667,17.390667,17.858
23-07-2015,17.976667,17.993334,17.684668,17.813334
24-07-2015,17.825333,18.072666,17.594667,17.694
27-07-2015,17.495333,17.628668,16.719334,16.867332
28-07-2015,17.049999,17.693333,16.789333,17.654667
29-07-2015,17.618,17.859333,17.466667,17.587999
30-07-2015,17.512667,17.796,17.474001,17.785999
31-07-2015,17.84,17.957333,17.674667,17.743334
03-08-2015,17.752666,17.780666,17.138,17.332666
04-08-2015,17.334,17.781334,17.222668,17.752001
05-08-2015,17.572001,18.066668,17.360001,18.008667
06-08-2015,16.636,17,15.741333,16.408667
07-08-2015,16.238667,16.248667,15.892667,16.167334
10-08-2015,15.876667,16.198,15.736667,16.076
11-08-2015,15.81,15.953333,15.629333,15.824667
12-08-2015,15.666667,15.984667,15.516,15.878
13-08-2015,15.990667,16.431999,15.941333,16.167334
14-08-2015,16.482668,16.528667,16.118,16.209999
17-08-2015,17.037333,17.106001,16.700666,16.999332
18-08-2015,17.025333,17.396667,16.903999,17.381332
19-08-2015,17.355333,17.376667,17.001333,17.016666
20-08-2015,16.804001,16.970667,16.126667,16.145332
21-08-2015,15.733333,16.253332,15.367333,15.384667
24-08-2015,13.519333,15.426667,13,14.591333
25-08-2015,15.368,15.393333,14.608,14.668667
26-08-2015,15.195333,15.2,14.367333,14.989333
27-08-2015,15.4,16.316668,15.387333,16.199333
28-08-2015,16.124001,16.763332,16.104668,16.565332
31-08-2015,16.374666,16.996668,16.367332,16.604
01-09-2015,16.022667,16.4,15.798,15.908667
02-09-2015,16.353333,16.525333,15.985333,16.512667
03-09-2015,16.804001,16.805332,16.333332,16.371332
04-09-2015,16.059334,16.272667,15.88,16.128668
08-09-2015,16.336666,16.610666,16.27,16.544666
09-09-2015,16.803333,16.950001,16.553333,16.594
10-09-2015,16.482,16.714666,16.355333,16.565332
11-09-2015,16.509333,16.682667,16.315332,16.682667
14-09-2015,16.74,16.950001,16.644667,16.879333
15-09-2015,16.85,16.973333,16.633333,16.904667
16-09-2015,16.869333,17.525333,16.858667,17.483334
17-09-2015,17.597334,17.700001,17.379333,17.471333
18-09-2015,17.197332,17.587999,17.166668,17.374666
21-09-2015,17.598667,18.104668,17.053333,17.613333
22-09-2015,17.268667,17.51,17.058001,17.396
23-09-2015,17.463333,17.472,17.172001,17.403999
24-09-2015,17.302,17.563334,17.080667,17.541332
25-09-2015,17.774,17.794001,17.076668,17.127333
28-09-2015,17.156668,17.319332,16.440666,16.562
29-09-2015,16.697332,16.982,16.364,16.443333
30-09-2015,16.799999,16.826668,16.156,16.559999
01-10-2015,16.500668,16.566668,15.808667,15.992
02-10-2015,15.706667,16.513332,15.662,16.504667
05-10-2015,16.589333,16.656,16.275333,16.41
06-10-2015,16,16.202,15.705333,16.097334
07-10-2015,15.775333,15.846667,15.274667,15.464
08-10-2015,15.338667,15.381333,14.754,15.114667
09-10-2015,14.728667,14.958,14.557333,14.712667
12-10-2015,14.866,14.866667,14.351333,14.372
13-10-2015,14.218667,14.834667,14.075333,14.616667
14-10-2015,14.711333,14.73,14.362,14.458667
15-10-2015,14.428667,14.782,14.246667,14.754
16-10-2015,14.869333,15.365333,14.858,15.134
19-10-2015,15.1,15.41,14.996,15.206667
20-10-2015,15.181333,15.24,13.466667,14.202
21-10-2015,14.132667,14.320667,13.92,14.006
22-10-2015,14.104,14.383333,13.96,14.114667
23-10-2015,14.333333,14.356667,13.846,13.939333
26-10-2015,14.092,14.392,14,14.350667
27-10-2015,14.322667,14.473333,13.834,14.023333
28-10-2015,14.087333,14.23,13.886667,14.197333
29-10-2015,14.116667,14.25,14.042667,14.108667
30-10-2015,14.026667,14.108667,13.592667,13.795333
02-11-2015,13.928,14.386667,13.814667,14.252667
03-11-2015,14.256667,14.296,13.85,13.89
04-11-2015,15.133333,15.516,15.013333,15.442
05-11-2015,15.372,15.638667,15.279333,15.451333
06-11-2015,15.38,15.557333,15.3,15.490667
09-11-2015,15.532667,15.532667,14.954,15.022
10-11-2015,14.898667,14.913333,14.405333,14.433333
11-11-2015,14.518,14.632,14.242,14.605333
12-11-2015,14.523333,14.6,14.177333,14.196
13-11-2015,14.196667,14.199333,13.768,13.812667
16-11-2015,13.739333,14.332,13.72,14.287333
17-11-2015,14.346667,14.4,14.093333,14.266667
18-11-2015,14.3,14.758667,14.168,14.738
19-11-2015,14.702667,15.079333,14.686667,14.786667
20-11-2015,14.899333,15,14.238667,14.667333
23-11-2015,14.49,14.612,14.312,14.516667
24-11-2015,14.358,14.733333,14.333333,14.55
25-11-2015,14.756,15.388667,14.692,15.309333
27-11-2015,15.404,15.483333,15.134,15.440667
30-11-2015,15.452667,15.618667,15.272,15.350667
01-12-2015,15.404,15.866667,15.403333,15.812667
02-12-2015,15.8,15.906667,15.415333,15.466
03-12-2015,15.698667,15.83,15.333333,15.514
04-12-2015,15.497333,15.551333,15.177333,15.358667
07-12-2015,15.18,15.708667,15.076667,15.408667
08-12-2015,15.168,15.253333,14.946667,15.114667
09-12-2015,15.113333,15.166667,14.714667,14.968
10-12-2015,14.980667,15.232667,14.909333,15.138
11-12-2015,15.016,15.05,14.442667,14.468
14-12-2015,14.500667,14.728,14.324667,14.572
15-12-2015,14.788,14.814667,14.533333,14.739333
16-12-2015,14.806667,15.658667,14.715333,15.634
17-12-2015,15.596,15.850667,15.320667,15.559333
18-12-2015,15.526,15.726667,15.286,15.364
21-12-2015,15.446,15.722,15.405333,15.504
22-12-2015,15.666,15.77,15.308667,15.33
23-12-2015,15.478667,15.563333,15.208667,15.313333
24-12-2015,15.370667,15.458667,15.218667,15.371333
28-12-2015,15.432667,15.465333,15.036,15.263333
29-12-2015,15.337333,15.848,15.303333,15.812667
30-12-2015,15.773333,16.242001,15.711333,15.872667
31-12-2015,15.900667,16.23,15.891333,16.000668
04-01-2016,15.381333,15.425333,14.6,14.894
05-01-2016,15.090667,15.126,14.666667,14.895333
06-01-2016,14.666667,14.67,14.398667,14.602667
07-01-2016,14.279333,14.562667,14.244667,14.376667
08-01-2016,14.524,14.696,14.051333,14.066667
11-01-2016,14.267333,14.296667,13.533333,13.856667
12-01-2016,14.106667,14.249333,13.687333,13.998
13-01-2016,14.134,14.176667,13.333333,13.354
14-01-2016,13.480667,14,12.892,13.745333
15-01-2016,13.264667,13.671333,13.15,13.666
19-01-2016,13.914,14.031333,13.385333,13.648
20-01-2016,13.293333,13.418667,12.75,13.246667
21-01-2016,13.436667,13.548667,13.001333,13.331333
22-01-2016,13.653333,13.7,13.268667,13.503333
25-01-2016,13.337333,13.571333,13.058667,13.092
26-01-2016,13.113333,13.188,12.592,12.904
27-01-2016,12.825333,12.884,12.384667,12.538
28-01-2016,12.719333,12.752,12.160667,12.646667
29-01-2016,12.663333,12.916,12.538667,12.746667
01-02-2016,12.584,13.301333,12.183333,13.129333
02-02-2016,12.828,12.874667,12.015333,12.185333
03-02-2016,12.239333,12.262667,11.345333,11.565333
04-02-2016,11.38,11.732,11.132667,11.688667
05-02-2016,11.42,11.533333,10.516,10.84
08-02-2016,10.473333,10.476667,9.733333,9.866
09-02-2016,9.488,10.652667,9.403333,9.883333
10-02-2016,10.033333,10.331333,9.449333,9.578
11-02-2016,10.133333,10.884,9.8,10.031333
12-02-2016,10.333333,10.467333,9.58,10.069333
16-02-2016,10.58,10.863333,10.274,10.344667
17-02-2016,10.6,11.289333,10.445333,11.245333
18-02-2016,11.494667,11.53,10.984667,11.118
19-02-2016,10.910667,11.166,10.833333,11.105333
22-02-2016,11.341333,11.927333,11.323333,11.849333
23-02-2016,11.744,12.115333,11.578667,11.814
24-02-2016,11.516667,11.966667,11.189333,11.933333
25-02-2016,11.91,12.568,11.68,12.495333
26-02-2016,12.58,12.8,12.333333,12.689333
29-02-2016,12.826667,13.09,12.614667,12.795333
01-03-2016,12.95,13.063333,12.18,12.423333
02-03-2016,12.248667,12.568,12.1,12.556
03-03-2016,12.552,13.161333,12.281333,13.049333
04-03-2016,13.2,13.602,13.166667,13.402667
07-03-2016,13.178667,13.98,13.16,13.686
08-03-2016,13.566667,13.833333,13.48,13.506667
09-03-2016,13.634667,13.958,13.519333,13.914667
10-03-2016,14,14.219333,13.378,13.678667
11-03-2016,13.862,13.961333,13.688667,13.833333
14-03-2016,14.176667,14.448,14.042667,14.343333
15-03-2016,14.284667,14.598,14.1,14.556
16-03-2016,14.533333,14.838667,14.468,14.795333
17-03-2016,14.764667,15.233333,14.666667,15.092
18-03-2016,15.273333,15.632,15.204,15.516
21-03-2016,15.689333,15.992,15.666667,15.888
22-03-2016,15.814,15.932667,15.504,15.616
23-03-2016,15.491333,15.648667,14.802,14.838667
24-03-2016,14.385333,15.259333,14.333333,15.183333
28-03-2016,15.440667,15.654,15,15.350667
29-03-2016,15.326,15.492,15.022,15.342
30-03-2016,15.672667,15.7,15.1,15.126
